Articulo,bpc,E/C,Litros,Jarabe
AP Cristal 600 ml NRP,24,,0.6,
CRISTAL QUINA 300 ML NRP 12P,12,,0.3,6
DEL VALLE FIZZ NARANJADA 1.75L NRP 9P,9,,1.75,5
COCA-COLA BIB MENOS AZÚCAR,"3,264.61",,10000,1
JARABE COCA-COLA 50% HFSC Y 50% AZUCAR EINSTEIN,46.1191,,300,1
JARABE VALLE FRUT CITRUS PUNCH REDUCCION CALORICA,"2,254.57",,10000,1
JARABE COCA-COLA HFCS,"4,391.49",,"10,000.00",1
Coca Cola Zero 1.35L NRP 12P,12,,1.35,6.4
Coca Cola Zero 600ml NRP 12P,12,,0.6,6.4
Coca Cola Zero 355ml NRP 12P,12,,0.355,6.4
Coca Cola 500ml NRP 12P,12,,0.5,6.4
